expense,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total
Office Rent,0,0,0,0,0,45000,45000,45000,45000,45000,45000,45000,315000
Elec bill,0,0,0,0,0,6919,1570,2421,2437,2845,2683,2245,21120
Water supply,0,0,0,0,0,0,500,250,1000,600,1000,1000,4350
Tea/Coffee & refreshments,0,0,0,0,0,0,2500,1500,2000,2000,2000,2000,12000
Office Expenses,2500,2500,2500,2500,2500,2500,2500,30407,15407,18690,5000,2500,89504
Rent,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salaries, Benefits & Wages",0,0,0,0,0,0,0,0,0,0,0,0,0
Telecommunication,0,0,0,0,0,0,0,1050,2500,2000,990,0,6540
Travel,0,0,0,0,0,0,0,4000,5000,0,0,2000,11000
Internet,,,,,,7786.82,,,,,,,
Carpentry Work for Office Renovation,,,,,,100000,,,,,,,100000
Civil Work for Office Renovation,,,,,,100000,,,2800,1100,,,103900
Material & Supplies for Renovation,,,,,,100000,,,,,,,100000
Goodies for VIP guest,,,,,,,,,0,0,,,0
Goodies for Guests,,,,,,,,,0,0,,,0
Paid ad FB monthly spend,,,,,,,,,,,,,0
Lead generation for projects,,,,,,,,,30000,0,5000,2000,37000
Company Softlaunch,,,,,,,,,10000,3427,5000,,18427
Sign Boards,,,,,,,,,,0,,,
Machinery,,,,,,,,,18500,55320,18684,,92504
Mobile numbers for Office use,,,,,,,,,7000,,,,7000
Subscriptions,,,,,,,,,25000,,,830,
New Broadband Connection,,,,,,,,,6590,,,,
New Mobile Handset,,,,,,,,,6000,,,,6000
Content Writer,,,,,,,,,4500,,,13500,18000
Staffing & Recruitment,,,,,,,,,,,,2496,
Business Cards,,,,,,,,,1947,35386,,3186,40519
Events,,,,,,,,,,,,3300,
